id,name,assign_on_pr,filter_domain_pr,assign_on_pa,filter_domain_pa,assign_on_po,filter_domain_po
pa_rule_01160,PA ภาควิชาวิศวกรรมอุตสาหการ,,,True,"[('requesting_department_id.code', 'in', ['01160'])]",,
pa_rule_01170,PA ส่วนสนับสนุนวิชาการ,,,True,"[('requesting_department_id.code', 'in', ['01170'])]",,
pa_rule_01280,PA ภาควิชาวิศวกรรมการวัดและควบคุม,,,True,"[('requesting_department_id.code', 'in', ['01280'])]",,
pa_rule_01290,PA ภาควิชาวิศวกรรมชีวการแพทย์,,,True,"[('requesting_department_id.code', 'in', ['01290'])]",,
pa_rule_01300,PA ศูนย์พัฒนานวัตกรรมและบริการทางวิศวกรรม,,,True,"[('requesting_department_id.code', 'in', ['01300'])]",,
pa_rule_01310,PA สำนักงานบริหารหลักสูตรวิศวกรรมสหวิทยาการนานาชาติ,,,True,"[('requesting_department_id.code', 'in', ['01310'])]",,
pa_rule_01320,PA ภาควิชาวิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์,,,True,"[('requesting_department_id.code', 'in', ['01320'])]",,
pa_rule_02,PA คณะสถาปัตยกรรม ศิลปะและการออกแบบ,,,True,"[('requesting_department_id.code', 'in', ['02'])]",,
pa_rule_02020,PA ภาควิชาศิลปอุตสาหกรรม,,,True,"[('requesting_department_id.code', 'in', ['02020'])]",,
pa_rule_02040,PA ภาควิชาสถาปัตยกรรมภายใน,,,True,"[('requesting_department_id.code', 'in', ['02040'])]",,
pa_rule_02050,PA ภาควิชานิเทศศิลป์,,,True,"[('requesting_department_id.code', 'in', ['02050'])]",,
pa_rule_02090,PA ส่วนสนับสนุนวิชาการ,,,True,"[('requesting_department_id.code', 'in', ['02090'])]",,
pa_rule_02130,PA ภาควิชาสถาปัตยกรรมและการวางแผน,,,True,"[('requesting_department_id.code', 'in', ['02130'])]",,
pa_rule_02140,PA ภาควิชาศิลปกรรม,,,True,"[('requesting_department_id.code', 'in', ['02140'])]",,
pa_rule_02160,PA ศูนย์บูรณาการเทคโนโลยีเพื่อการแก้ไขปัญหาประเทศ,,,True,"[('requesting_department_id.code', 'in', ['02160'])]",,
pa_rule_02180,PA ศูนย์วิจัยและการออกแบบงานสร้างสรรค์,,,True,"[('requesting_department_id.code', 'in', ['02180'])]",,
pa_rule_02200,PA สำนักงานบริหารหลักสูตรสถาปัตยกรรมสหวิทยาการนานาชาติ,,,True,"[('requesting_department_id.code', 'in', ['02200'])]",,
pa_rule_03,PA คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี,,,True,"[('requesting_department_id.code', 'in', ['03'])]",,
pa_rule_03020,PA ภาควิชาครุศาสตร์อุตสาหกรรม,,,True,"[('requesting_department_id.code', 'in', ['03020'])]",,
pa_rule_03040,PA ภาควิชาครุศาสตร์เกษตร,,,True,"[('requesting_department_id.code', 'in', ['03040'])]",,
pa_rule_03050,PA ภาควิชาครุศาสตร์วิศวกรรม,,,True,"[('requesting_department_id.code', 'in', ['03050'])]",,
pa_rule_03070,PA ส่วนสนับสนุนวิชาการ,,,True,"[('requesting_department_id.code', 'in', ['03070'])]",,
pa_rule_03130,PA ศูนย์นวัตกรรมและเทคโนโลยีทางการศึกษา,,,True,"[('requesting_department_id.code', 'in', ['03130'])]",,
pa_rule_03140,PA ภาควิชาครุศาสตร์สถาปัตยกรรมและการออกแบบ,,,True,"[('requesting_department_id.code', 'in', ['03140'])]",,
pa_rule_03150,PA สำนักงานนานาชาติครุศาสตร์อุตสาหกรรมและเทคโนโลยี,,,True,"[('requesting_department_id.code', 'in', ['03150'])]",,
pa_rule_04,PA คณะเทคโนโลยีการเกษตร,,,True,"[('requesting_department_id.code', 'in', ['04'])]",,
pa_rule_04040,PA ภาควิชาเทคโนโลยีการผลิตพืช,,,True,"[('requesting_department_id.code', 'in', ['04040'])]",,
pa_rule_04110,PA ส่วนสนับสนุนวิชาการ,,,True,"[('requesting_department_id.code', 'in', ['04110'])]",,
pa_rule_04150,PA ศูนย์วิจัยร่วมภาครัฐและเอกชน,,,True,"[('requesting_department_id.code', 'in', ['04150'])]",,
pa_rule_04160,PA ภาควิชาเทคโนโลยีการผลิตสัตว์และประมง,,,True,"[('requesting_department_id.code', 'in', ['04160'])]",,
pa_rule_04170,PA ภาควิชานวัตกรรมการสื่อสารและพัฒนาการเกษตร,,,True,"[('requesting_department_id.code', 'in', ['04170'])]",,
pa_rule_04180,PA สำนักงานบริหารหลักสูตรสหวิทยาการเทคโนโลยีการเกษตร,,,True,"[('requesting_department_id.code', 'in', ['04180'])]",,
pa_rule_05,PA คณะวิทยาศาสตร์,,,True,"[('requesting_department_id.code', 'in', ['05'])]",,
pa_rule_05100,PA ส่วนสนับสนุนวิชาการ,,,True,"[('requesting_department_id.code', 'in', ['05100'])]",,
pa_rule_05170,PA ศูนย์เครื่องมือวิทยาศาสตร์,,,True,"[('requesting_department_id.code', 'in', ['05170'])]",,
