id,code,name,plan_id/id,parent_id/id,line_seq
"activity_090060606","090060606",กิจกรรมหลัก งาน 1 อำเภอ 1 แปลงเกษตรอัจฉริยะ,analytic_plan_activities,activity_09006,
"activity_09006060673","09006060673",กิจกรรมรอง ส่งเสริมและพัฒนาต้นแบบเกษตรอัจฉริยะ,analytic_plan_activities,activity_090060606,
"activity_090060607","090060607",กิจกรรมหลัก งานพัฒนาความเป็นเลิศของสถาบันอุดมศึกษาและพัฒนากำลังคนขั้นสูง,analytic_plan_activities,activity_09006,
"activity_09006060774","09006060774",กิจกรรมรอง พัฒนาหลักสูตรรูปแบบ Entrepreneurship Educationที่เป็น Niche Area หรือ Strength ของสถาบันอุดมศึกษา,analytic_plan_activities,activity_090060607,
"activity_06","06",ด้านวิทยาศาสตร์และเทคโนโลยี,analytic_plan_activities,,
"activity_06004","06004",แผนงานวิจัย,analytic_plan_activities,activity_06,
"activity_060040401","060040401",กิจกรรมหลัก งานวิจัยพัฒนาและถ่ายทอดเทคโนโลยี (รวมแผนงานบูรณาการวิจัยและนวัตกรรม),analytic_plan_activities,activity_06004,
"activity_06004040140","06004040140",กิจกรรมรอง วิจัยพื้นฐาน,analytic_plan_activities,activity_060040401,
"activity_06004040141","06004040141",กิจกรรมรอง วิจัยประยุกต์,analytic_plan_activities,activity_060040401,
"activity_06004040142","06004040142",กิจกรรมรอง วิจัยและพัฒนา และถ่ายทอดเทคโนโลยี,analytic_plan_activities,activity_060040401,
"activity_06004040143","06004040143",กิจกรรมรอง การวิจัยเพื่อดำเนินการตามนโยบายรัฐบาล (แผนงานบูรณาการวิจัยและนวัตกรรม),analytic_plan_activities,activity_060040401,
"activity_06005","06005",แผนงานบูรณาการ,analytic_plan_activities,activity_06,
"activity_060050501","060050501",กิจกรรมหลัก งานส่งเสริม และพัฒนาเทคโนโลยี นวัตกรรม,analytic_plan_activities,activity_06005,
"activity_06005050150","06005050150",กิจกรรมรอง พัฒนาอุตสาหกรรมศักยภาพ,analytic_plan_activities,activity_060050501,
"activity_06005050151","06005050151",กิจกรรมรอง สร้างรายได้จากการท่องเที่ยวและบริการ,analytic_plan_activities,activity_060050501,
"activity_06005050152","06005050152",กิจกรรมรอง พัฒนาศักยภาพการผลิตภาคเกษตร,analytic_plan_activities,activity_060050501,
"activity_06005050153","06005050153",กิจกรรมรอง พัฒนาศักยภาพคนตามช่วงวัย,analytic_plan_activities,activity_060050501,
"activity_06005050154","06005050154",กิจกรรมรอง ยกระดับคุณภาพการศึกษาและการเรียนรู้ตลอดชีวิต,analytic_plan_activities,activity_060050501,
"activity_06005050155","06005050155",กิจกรรมรอง เสริมสร้างความเข้มแข็งและยั่งยืนให้กับเศรษฐกิจภายในประเทศ,analytic_plan_activities,activity_060050501,
"activity_060050502","060050502",กิจกรรมหลัก งานพัฒนาพื้นที่ระเบียงเศรษฐกิจภาคตะวันออก,analytic_plan_activities,activity_06005,
"activity_06005050256","06005050256",กิจกรรมรอง พัฒนาพื้นที่ระเบียงเศรษฐกิจภาคตะวันออก,analytic_plan_activities,activity_060050502,
"activity_060050503","060050503",กิจกรรมหลัก งานพัฒนาคุณภาพชีวิต สร้างความสมดุลทางเศรษฐกิจ,analytic_plan_activities,activity_06005,
"activity_06005050357","06005050357",กิจกรรมรอง พัฒนาคุณภาพชีวิต สร้างความสมดุลทางเศรษฐกิจ,analytic_plan_activities,activity_060050503,
source_1,"1",งบประมาณแผ่นดิน,analytic_plan_sources,,1
source_2,"2",งบประมาณเงินรายได้,analytic_plan_sources,,2
source_3,"3",งบกลาง (งบประมาณแผ่นดิน),analytic_plan_sources,,3
source_4,"4",เงินสะสม (งบประมาณเงินรายได้),analytic_plan_sources,,4
source_5,"5",เงินกันเหลื่อมปี (งบประมาณแผ่นดิน),analytic_plan_sources,,5
source_6,"6",เงินกันเหลื่อมปี (งบประมาณเงินรายได้),analytic_plan_sources,,6
source_7,"7",เงินกันเหลื่อมปี (เงินรายได้สะสม),analytic_plan_sources,,7
"dept_01","01",คณะวิศวกรรมศาสตร์,analytic_plan_departments,,
"dept_01030","01030",ภาควิชาวิศวกรรมเกษตร,analytic_plan_departments,dept_01,
"dept_01031","01031",วิศวกรรมระบบอุตสาหกรรมการเกษตร (ต่อเนื่อง),analytic_plan_departments,dept_01030,
"dept_01040","01040",ภาควิชาวิศวกรรมคอมพิวเตอร์,analytic_plan_departments,dept_01,
"dept_01041","01041",วิศวกรรมคอมพิวเตอร์(ต่อเนื่อง),analytic_plan_departments,dept_01040,
"dept_01042","01042",วิศวกรรมคอมพิวเตอร์(หลักสูตรนานาชาติ),analytic_plan_departments,dept_01040,
"dept_01043","01043",วิศวกรรมระบบไอโอทีและสารสนเทศ,analytic_plan_departments,dept_01040,
"dept_01050","01050",ภาควิชาวิศวกรรมเคมี,analytic_plan_departments,dept_01,
"dept_01060","01060",ภาควิชาวิศวกรรมเครื่องกล,analytic_plan_departments,dept_01,
